epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9493,2.12471,2.21881,2.01855,0.2547,0.33086,0.18742,0.05163,2.51451,5.89172,2.70412,0.00048,0.00048,0.00048
2,26.3904,2.17021,2.10028,2.03797,0.05879,0.14994,0.02871,0.0081,3.0047,inf,4.25052,0.000977575,0.000977575,0.000977575
3,38.909,2.17378,2.13535,2.08388,0.00193,0.07187,0.00125,0.00023,3.93069,inf,25.9279,0.00147267,0.00147267,0.00147267
4,51.2422,2.23657,2.12426,2.10737,0.00477,0.1772,0.00281,0.00101,3.42886,inf,7.20137,0.0019653,0.0019653,0.0019653
5,63.9073,2.21117,2.16945,2.08679,0.00161,0.05824,0.00083,0.00031,3.53573,inf,16.4702,0.0019802,0.0019802,0.0019802
6,76.5471,2.16439,2.09646,2.07315,0.03122,0.26022,0.01683,0.00513,2.93452,31.4381,3.08459,0.00197525,0.00197525,0.00197525
7,88.7839,2.15125,2.04674,2.07844,0.13602,0.18092,0.0691,0.01821,2.86781,3.82711,3.22097,0.0019703,0.0019703,0.0019703
8,101.245,2.05869,2.00923,2.01577,0.18944,0.27385,0.14038,0.04119,2.56692,2.90679,2.79339,0.00196535,0.00196535,0.00196535
9,113.767,2.06494,1.92923,1.95878,0.21521,0.2912,0.15484,0.04339,2.73238,3.14608,2.73048,0.0019604,0.0019604,0.0019604
10,126.294,2.05751,2.01454,1.99432,0.25125,0.28996,0.18855,0.05401,2.5305,3.17356,2.54284,0.00195545,0.00195545,0.00195545
11,138.491,1.9593,1.8887,1.94973,0.37785,0.31103,0.28615,0.10004,2.32633,2.33905,2.41514,0.0019505,0.0019505,0.0019505
12,150.971,2.01413,1.87351,1.94135,0.36648,0.27881,0.25202,0.08402,2.56172,2.69592,2.55639,0.00194555,0.00194555,0.00194555
13,163.284,1.95885,1.83675,1.93835,0.35782,0.30855,0.27131,0.09094,2.4121,2.90091,2.36701,0.0019406,0.0019406,0.0019406
14,175.794,2.01752,1.833,1.92331,0.24054,0.24287,0.15187,0.04622,2.64146,3.19149,2.68944,0.00193565,0.00193565,0.00193565
15,188.143,1.9767,1.84337,1.90002,0.39291,0.34944,0.29201,0.0947,2.37354,2.10862,2.36761,0.0019307,0.0019307,0.0019307
16,200.321,1.95248,1.82119,1.89455,0.31648,0.39157,0.26557,0.08531,2.4861,2.23668,2.39945,0.00192575,0.00192575,0.00192575
17,212.624,1.92764,1.79889,1.88357,0.38459,0.35192,0.28194,0.0854,2.47641,2.51268,2.35127,0.0019208,0.0019208,0.0019208
18,225.189,1.91846,1.73525,1.84272,0.48028,0.44734,0.39718,0.12302,2.26872,2.20029,2.24812,0.00191585,0.00191585,0.00191585
19,237.651,1.92368,1.76396,1.84156,0.41748,0.42007,0.35313,0.1217,2.29777,2.02502,2.25182,0.0019109,0.0019109,0.0019109
20,250.765,1.89661,1.68569,1.83874,0.3998,0.42923,0.34456,0.11592,2.29351,1.9722,2.2464,0.00190595,0.00190595,0.00190595
21,263.194,1.84456,1.67013,1.83302,0.49251,0.42691,0.38687,0.13128,2.27758,1.96663,2.22552,0.001901,0.001901,0.001901
22,275.625,1.93254,1.73187,1.86972,0.45083,0.44981,0.3664,0.13061,2.23863,2.02606,2.18027,0.00189605,0.00189605,0.00189605
23,287.984,1.8978,1.69228,1.85015,0.4462,0.4176,0.38017,0.12857,2.23835,2.25992,2.16588,0.0018911,0.0018911,0.0018911
24,300.602,1.90058,1.72114,1.82991,0.42853,0.38538,0.34797,0.11602,2.37406,2.2302,2.27307,0.00188615,0.00188615,0.00188615
25,312.944,1.87607,1.64563,1.824,0.43463,0.41636,0.35752,0.12641,2.26403,2.02926,2.23555,0.0018812,0.0018812,0.0018812
26,325.449,1.9035,1.70379,1.81972,0.39638,0.4176,0.3443,0.11683,2.34732,2.05393,2.30215,0.00187625,0.00187625,0.00187625
27,339.375,1.81899,1.61719,1.80653,0.51747,0.43247,0.42513,0.13868,2.24967,1.83789,2.1556,0.0018713,0.0018713,0.0018713
28,353.136,1.90792,1.63134,1.81976,0.4611,0.42007,0.39914,0.12772,2.32749,2.04925,2.25483,0.00186635,0.00186635,0.00186635
29,365.979,1.82454,1.72241,1.86439,0.48311,0.46468,0.40877,0.13052,2.28739,2.0364,2.23073,0.0018614,0.0018614,0.0018614
30,379.145,1.83243,1.63433,1.84553,0.45711,0.43123,0.38114,0.12962,2.25849,1.85738,2.21675,0.00185645,0.00185645,0.00185645
31,393.224,1.8263,1.61506,1.81874,0.45055,0.46029,0.38412,0.1305,2.29246,1.87262,2.19281,0.0018515,0.0018515,0.0018515
32,405.716,1.82314,1.60542,1.8139,0.47329,0.42131,0.39362,0.12989,2.29382,1.94161,2.23463,0.00184655,0.00184655,0.00184655
33,418.043,1.76062,1.54497,1.76428,0.51542,0.47185,0.43972,0.14519,2.2512,2.11568,2.18866,0.0018416,0.0018416,0.0018416
34,430.517,1.80586,1.55975,1.78683,0.54174,0.46964,0.45296,0.14671,2.24404,1.96025,2.17476,0.00183665,0.00183665,0.00183665
35,442.872,1.7971,1.49579,1.74591,0.50328,0.51101,0.46601,0.16444,2.21705,1.82737,2.14558,0.0018317,0.0018317,0.0018317
36,455.178,1.78457,1.49074,1.76462,0.52214,0.45849,0.45177,0.16321,2.28497,1.82699,2.21012,0.00182675,0.00182675,0.00182675
37,467.341,1.78015,1.50545,1.7438,0.50492,0.44359,0.42469,0.15337,2.35263,1.89466,2.31384,0.0018218,0.0018218,0.0018218
38,479.51,1.78187,1.50632,1.7429,0.51472,0.4746,0.43234,0.15049,2.3466,1.8538,2.28364,0.00181685,0.00181685,0.00181685
39,491.772,1.78553,1.50439,1.75765,0.51192,0.4461,0.42953,0.14044,2.38041,1.89189,2.30973,0.0018119,0.0018119,0.0018119
40,504.133,1.78372,1.51847,1.77093,0.57239,0.49071,0.48502,0.17002,2.15657,1.74686,2.10945,0.00180695,0.00180695,0.00180695
41,516.53,1.73251,1.49712,1.76252,0.48919,0.46344,0.43467,0.15739,2.17015,1.90807,2.11919,0.001802,0.001802,0.001802
42,528.674,1.75955,1.54012,1.78527,0.49785,0.43371,0.42146,0.1508,2.22272,1.89839,2.18396,0.00179705,0.00179705,0.00179705
43,540.793,1.73447,1.48046,1.73964,0.54097,0.50674,0.47286,0.16237,2.2232,1.7576,2.14759,0.0017921,0.0017921,0.0017921
44,553.104,1.74392,1.47148,1.70499,0.56163,0.44734,0.44069,0.14963,2.29803,1.9488,2.22099,0.00178715,0.00178715,0.00178715
45,565.224,1.72745,1.44613,1.71088,0.56733,0.48699,0.49732,0.17412,2.16318,1.70275,2.10514,0.0017822,0.0017822,0.0017822
46,577.458,1.70518,1.44884,1.71674,0.54895,0.47584,0.47201,0.16403,2.17018,1.79699,2.1333,0.00177725,0.00177725,0.00177725
47,589.587,1.7659,1.4959,1.75582,0.51242,0.4545,0.43822,0.16076,2.26774,1.94281,2.19475,0.0017723,0.0017723,0.0017723
48,602.115,1.77154,1.42443,1.7243,0.55654,0.43247,0.46278,0.16672,2.2236,1.73446,2.22311,0.00176735,0.00176735,0.00176735
49,614.956,1.70998,1.46689,1.73566,0.57939,0.44362,0.45921,0.16816,2.23259,1.80607,2.22035,0.0017624,0.0017624,0.0017624
50,627.284,1.68256,1.4155,1.71784,0.57173,0.49462,0.5101,0.18579,2.21159,1.80544,2.20487,0.00175745,0.00175745,0.00175745
51,640.818,1.71248,1.39784,1.70194,0.51983,0.51673,0.46487,0.15776,2.24132,1.80567,2.14977,0.0017525,0.0017525,0.0017525
52,653.085,1.6836,1.39774,1.71738,0.59646,0.48451,0.51158,0.17242,2.2654,1.72104,2.18453,0.00174755,0.00174755,0.00174755
53,665.665,1.70791,1.37764,1.67962,0.52581,0.4684,0.45901,0.157,2.25708,1.78422,2.18829,0.0017426,0.0017426,0.0017426
54,677.99,1.70568,1.38807,1.69557,0.54482,0.50724,0.49956,0.18197,2.26932,1.70791,2.16899,0.00173765,0.00173765,0.00173765
55,690.276,1.69449,1.3492,1.66284,0.53828,0.4969,0.50231,0.18467,2.20819,1.61337,2.15889,0.0017327,0.0017327,0.0017327
56,702.74,1.6682,1.32348,1.65372,0.57049,0.5031,0.49807,0.17563,2.26386,1.6767,2.19609,0.00172775,0.00172775,0.00172775
57,715.487,1.65066,1.32189,1.66024,0.54444,0.48079,0.45768,0.16069,2.41542,1.84333,2.3403,0.0017228,0.0017228,0.0017228
58,727.79,1.65748,1.33257,1.66995,0.6111,0.45105,0.48112,0.1739,2.28004,1.69118,2.19952,0.00171785,0.00171785,0.00171785
59,740.378,1.6268,1.29128,1.65391,0.55057,0.44782,0.43317,0.14899,2.29817,1.74752,2.24578,0.0017129,0.0017129,0.0017129
60,752.706,1.68297,1.33383,1.66079,0.52805,0.50929,0.45744,0.16079,2.27859,1.6577,2.18779,0.00170795,0.00170795,0.00170795
61,764.887,1.6005,1.28229,1.63423,0.5424,0.50086,0.51068,0.18559,2.27605,1.57822,2.22619,0.001703,0.001703,0.001703
62,777.115,1.60001,1.27514,1.60872,0.5625,0.47212,0.47569,0.17183,2.31173,1.71087,2.21126,0.00169805,0.00169805,0.00169805
63,789.439,1.67618,1.29874,1.65796,0.56445,0.45849,0.498,0.18553,2.29936,1.67276,2.24439,0.0016931,0.0016931,0.0016931
64,801.676,1.59548,1.29668,1.65722,0.54187,0.52416,0.49568,0.17408,2.28706,1.813,2.20701,0.00168815,0.00168815,0.00168815
65,814.143,1.62141,1.26286,1.65431,0.53973,0.50929,0.47739,0.16121,2.35747,1.67409,2.25563,0.0016832,0.0016832,0.0016832
66,826.467,1.61122,1.23588,1.60816,0.55608,0.48947,0.50109,0.18065,2.27351,1.71518,2.21128,0.00167825,0.00167825,0.00167825
67,839.047,1.62049,1.26527,1.63269,0.56281,0.53779,0.50289,0.17771,2.3261,1.63838,2.24509,0.0016733,0.0016733,0.0016733
68,851.7,1.5932,1.22945,1.64065,0.58735,0.47955,0.48653,0.17446,2.35504,1.73778,2.34304,0.00166835,0.00166835,0.00166835
69,864.159,1.59795,1.22161,1.61959,0.53252,0.51673,0.48345,0.16552,2.3767,1.66897,2.31311,0.0016634,0.0016634,0.0016634
70,877.45,1.60951,1.28785,1.65334,0.52712,0.49318,0.46781,0.16159,2.38112,1.72739,2.35999,0.00165845,0.00165845,0.00165845
